chest,lu,lf,ru,rf,pelvis,lt,lc,rt,rc
-0.089#0.099#-0.323#-0.937,0.575#-0.107#-0.146#-0.798,0.667#-0.049#-0.029#-0.743,0.25#0.585#-0.089#-0.766,-0.518#-0.403#-0.005#0.755,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.036#0.003#-0.32#-0.947,0.575#-0.107#-0.146#-0.798,0.667#-0.049#-0.029#-0.743,0.296#0.518#-0.137#-0.791,-0.61#-0.339#0.039#0.715,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.036#0.003#-0.32#-0.947,0.634#-0.172#-0.139#-0.741,0.72#-0.072#-0.057#-0.687,0.296#0.518#-0.137#-0.791,-0.61#-0.339#0.039#0.715,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.036#0.003#-0.32#-0.947,0.634#-0.172#-0.139#-0.741,0.72#-0.072#-0.057#-0.687,0.296#0.518#-0.137#-0.791,-0.61#-0.339#0.039#0.715,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.007#-0.068#-0.319#-0.945,0.634#-0.172#-0.139#-0.741,0.72#-0.072#-0.057#-0.687,0.331#0.45#-0.181#-0.809,-0.691#-0.276#0.081#0.663,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.007#-0.068#-0.319#-0.945,0.682#-0.227#-0.128#-0.684,0.768#-0.104#-0.074#-0.628,0.331#0.45#-0.181#-0.809,-0.691#-0.276#0.081#0.663,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.007#-0.068#-0.319#-0.945,0.682#-0.227#-0.128#-0.684,0.768#-0.104#-0.074#-0.628,0.331#0.45#-0.181#-0.809,-0.691#-0.276#0.081#0.663,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.043#-0.125#-0.318#-0.939,0.72#-0.264#-0.112#-0.632,0.768#-0.104#-0.074#-0.628,0.361#0.389#-0.219#-0.819,-0.755#-0.219#0.124#0.605,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.043#-0.125#-0.318#-0.939,0.72#-0.264#-0.112#-0.632,0.817#-0.137#-0.078#-0.555,0.361#0.389#-0.219#-0.819,-0.755#-0.219#0.124#0.605,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.043#-0.125#-0.318#-0.939,0.72#-0.264#-0.112#-0.632,0.817#-0.137#-0.078#-0.555,0.361#0.389#-0.219#-0.819,-0.755#-0.219#0.124#0.605,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.071#-0.165#-0.317#-0.931,0.72#-0.264#-0.112#-0.632,0.817#-0.137#-0.078#-0.555,0.389#0.326#-0.256#-0.823,-0.803#-0.177#0.169#0.543,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.071#-0.165#-0.317#-0.931,0.755#-0.29#-0.092#-0.581,0.853#-0.162#-0.077#-0.49,0.389#0.326#-0.256#-0.823,-0.803#-0.177#0.169#0.543,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.071#-0.165#-0.317#-0.931,0.755#-0.29#-0.092#-0.581,0.853#-0.162#-0.077#-0.49,0.389#0.326#-0.256#-0.823,-0.803#-0.177#0.169#0.543,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.09#-0.188#-0.318#-0.925,0.755#-0.29#-0.092#-0.581,0.853#-0.162#-0.077#-0.49,0.417#0.271#-0.291#-0.817,-0.837#-0.148#0.205#0.485,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.09#-0.188#-0.318#-0.925,0.772#-0.305#-0.077#-0.552,0.875#-0.177#-0.062#-0.446,0.417#0.271#-0.291#-0.817,-0.837#-0.148#0.205#0.485,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.09#-0.188#-0.318#-0.925,0.772#-0.305#-0.077#-0.552,0.875#-0.177#-0.062#-0.446,0.417#0.271#-0.291#-0.817,-0.837#-0.148#0.205#0.485,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.09#-0.192#-0.317#-0.924,0.772#-0.305#-0.077#-0.552,0.875#-0.177#-0.062#-0.446,0.429#0.247#-0.306#-0.813,-0.856#-0.132#0.216#0.451,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.09#-0.192#-0.317#-0.924,0.777#-0.311#-0.064#-0.543,0.883#-0.185#-0.056#-0.428,0.429#0.247#-0.306#-0.813,-0.856#-0.132#0.216#0.451,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.09#-0.192#-0.317#-0.924,0.777#-0.311#-0.064#-0.543,0.883#-0.185#-0.056#-0.428,0.429#0.247#-0.306#-0.813,-0.856#-0.132#0.216#0.451,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.084#-0.187#-0.313#-0.927,0.777#-0.311#-0.064#-0.543,0.883#-0.185#-0.056#-0.428,0.428#0.249#-0.304#-0.814,-0.859#-0.129#0.212#0.447,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.084#-0.187#-0.313#-0.927,0.776#-0.314#-0.051#-0.544,0.884#-0.19#-0.041#-0.426,0.428#0.249#-0.304#-0.814,-0.859#-0.129#0.212#0.447,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.084#-0.187#-0.313#-0.927,0.776#-0.314#-0.051#-0.544,0.884#-0.19#-0.041#-0.426,0.428#0.249#-0.304#-0.814,-0.859#-0.129#0.212#0.447,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.084#-0.187#-0.313#-0.927,0.776#-0.314#-0.051#-0.544,0.884#-0.19#-0.041#-0.426,0.428#0.249#-0.304#-0.814,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.084#-0.187#-0.313#-0.927,0.775#-0.31#-0.041#-0.549,0.885#-0.192#-0.027#-0.423,0.428#0.249#-0.304#-0.814,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.084#-0.187#-0.313#-0.927,0.775#-0.31#-0.041#-0.549,0.885#-0.192#-0.027#-0.423,0.428#0.249#-0.304#-0.814,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.084#-0.187#-0.313#-0.927,0.775#-0.31#-0.041#-0.549,0.885#-0.192#-0.027#-0.423,0.428#0.249#-0.304#-0.814,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.076#-0.176#-0.305#-0.933,0.772#-0.308#-0.037#-0.555,0.885#-0.192#-0.027#-0.423,0.411#0.252#-0.292#-0.826,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.076#-0.176#-0.305#-0.933,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.076#-0.176#-0.305#-0.933,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.076#-0.176#-0.305#-0.933,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.076#-0.176#-0.305#-0.933,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.076#-0.176#-0.305#-0.933,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.076#-0.176#-0.305#-0.933,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.857#-0.133#0.207#0.453,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.076#-0.176#-0.305#-0.933,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.858#-0.136#0.204#0.451,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.059#-0.157#-0.307#-0.937,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.858#-0.136#0.204#0.451,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.059#-0.157#-0.307#-0.937,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.858#-0.136#0.204#0.451,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.059#-0.157#-0.307#-0.937,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.411#0.252#-0.292#-0.826,-0.858#-0.136#0.204#0.451,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.025#-0.118#-0.314#-0.942,0.772#-0.308#-0.037#-0.555,0.885#-0.19#-0.018#-0.424,0.396#0.28#-0.279#-0.829,-0.858#-0.134#0.182#0.461,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.025#-0.118#-0.314#-0.942,0.728#-0.307#-0.047#-0.611,0.866#-0.204#-0.001#-0.457,0.396#0.28#-0.279#-0.829,-0.858#-0.134#0.182#0.461,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
0.025#-0.118#-0.314#-0.942,0.728#-0.307#-0.047#-0.611,0.866#-0.204#-0.001#-0.457,0.396#0.28#-0.279#-0.829,-0.858#-0.134#0.182#0.461,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.027#-0.051#-0.321#-0.945,0.675#-0.288#-0.067#-0.676,0.834#-0.223#0.007#-0.504,0.373#0.329#-0.255#-0.829,-0.847#-0.14#0.138#0.493,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.027#-0.051#-0.321#-0.945,0.675#-0.288#-0.067#-0.676,0.834#-0.223#0.007#-0.504,0.373#0.329#-0.255#-0.829,-0.847#-0.14#0.138#0.493,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.027#-0.051#-0.321#-0.945,0.675#-0.288#-0.067#-0.676,0.834#-0.223#0.007#-0.504,0.373#0.329#-0.255#-0.829,-0.847#-0.14#0.138#0.493,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.099#0.039#-0.326#-0.939,0.588#-0.237#-0.105#-0.766,0.772#-0.243#0.019#-0.586,0.332#0.402#-0.214#-0.826,-0.812#-0.157#0.067#0.559,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.099#0.039#-0.326#-0.939,0.588#-0.237#-0.105#-0.766,0.772#-0.243#0.019#-0.586,0.332#0.402#-0.214#-0.826,-0.812#-0.157#0.067#0.559,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.099#0.039#-0.326#-0.939,0.588#-0.237#-0.105#-0.766,0.772#-0.243#0.019#-0.586,0.332#0.402#-0.214#-0.826,-0.812#-0.157#0.067#0.559,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.176#0.145#-0.328#-0.917,0.478#-0.135#-0.155#-0.854,0.666#-0.243#0.027#-0.705,0.275#0.492#-0.157#-0.811,-0.73#-0.194#-0.026#0.655,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.176#0.145#-0.328#-0.917,0.478#-0.135#-0.155#-0.854,0.666#-0.243#0.027#-0.705,0.275#0.492#-0.157#-0.811,-0.73#-0.194#-0.026#0.655,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.176#0.145#-0.328#-0.917,0.478#-0.135#-0.155#-0.854,0.666#-0.243#0.027#-0.705,0.275#0.492#-0.157#-0.811,-0.73#-0.194#-0.026#0.655,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.249#0.26#-0.331#-0.872,0.353#0.012#-0.182#-0.918,0.497#-0.193#0.03#-0.845,0.196#0.593#-0.082#-0.777,-0.583#-0.269#-0.128#0.756,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.249#0.26#-0.331#-0.872,0.353#0.012#-0.182#-0.918,0.497#-0.193#0.03#-0.845,0.196#0.593#-0.082#-0.777,-0.583#-0.269#-0.128#0.756,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.249#0.26#-0.331#-0.872,0.353#0.012#-0.182#-0.918,0.497#-0.193#0.03#-0.845,0.196#0.593#-0.082#-0.777,-0.424#-0.397#-0.233#0.78,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.325#0.396#-0.316#-0.799,0.213#0.167#-0.154#-0.95,0.293#-0.104#0.054#-0.949,0.098#0.696#0.018#-0.711,-0.424#-0.397#-0.233#0.78,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.325#0.396#-0.316#-0.799,0.213#0.167#-0.154#-0.95,0.293#-0.104#0.054#-0.949,0.098#0.696#0.018#-0.711,-0.424#-0.397#-0.233#0.78,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.325#0.396#-0.316#-0.799,0.213#0.167#-0.154#-0.95,0.293#-0.104#0.054#-0.949,0.098#0.696#0.018#-0.711,-0.276#-0.57#-0.393#0.666,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.396#0.541#-0.275#-0.689,0.066#0.336#-0.082#-0.936,0.093#0.015#0.093#-0.991,-0.006#0.8#0.151#-0.581,-0.276#-0.57#-0.393#0.666,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.396#0.541#-0.275#-0.689,0.066#0.336#-0.082#-0.936,0.093#0.015#0.093#-0.991,-0.006#0.8#0.151#-0.581,-0.276#-0.57#-0.393#0.666,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.396#0.541#-0.275#-0.689,0.066#0.336#-0.082#-0.936,0.093#0.015#0.093#-0.991,-0.006#0.8#0.151#-0.581,-0.159#-0.663#-0.583#0.442,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.434#0.683#-0.217#-0.546,-0.044#0.492#0.033#-0.869,-0.079#0.16#0.17#-0.969,-0.08#0.868#0.316#-0.375,-0.159#-0.663#-0.583#0.442,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.434#0.683#-0.217#-0.546,-0.044#0.492#0.033#-0.869,-0.079#0.16#0.17#-0.969,-0.08#0.868#0.316#-0.375,-0.159#-0.663#-0.583#0.442,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.434#0.683#-0.217#-0.546,-0.044#0.492#0.033#-0.869,-0.079#0.16#0.17#-0.969,-0.08#0.868#0.316#-0.375,-0.114#-0.683#-0.698#0.184,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.431#0.802#-0.121#-0.397,-0.102#0.617#0.154#-0.765,-0.208#0.3#0.259#-0.895,-0.131#0.849#0.486#-0.158,-0.114#-0.683#-0.698#0.184,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.431#0.802#-0.121#-0.397,-0.102#0.617#0.154#-0.765,-0.208#0.3#0.259#-0.895,-0.131#0.849#0.486#-0.158,-0.114#-0.683#-0.698#0.184,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.431#0.802#-0.121#-0.397,-0.102#0.617#0.154#-0.765,-0.208#0.3#0.259#-0.895,-0.131#0.849#0.486#-0.158,-0.105#-0.667#-0.737#-0.008,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.414#0.862#-0.01#-0.293,-0.169#0.686#0.262#-0.658,-0.273#0.407#0.317#-0.812,-0.155#0.775#0.613#0.025,-0.105#-0.667#-0.737#-0.008,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.414#0.862#-0.01#-0.293,-0.169#0.686#0.262#-0.658,-0.273#0.407#0.317#-0.812,-0.155#0.775#0.613#0.025,-0.105#-0.667#-0.737#-0.008,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.404#0.887#0.038#-0.222,-0.169#0.686#0.262#-0.658,-0.273#0.407#0.317#-0.812,-0.207#0.697#0.673#0.139,-0.099#-0.664#-0.727#-0.144,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.404#0.887#0.038#-0.222,-0.233#0.727#0.33#-0.555,-0.347#0.47#0.349#-0.733,-0.207#0.697#0.673#0.139,-0.099#-0.664#-0.727#-0.144,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.404#0.887#0.038#-0.222,-0.233#0.727#0.33#-0.555,-0.347#0.47#0.349#-0.733,-0.207#0.697#0.673#0.139,-0.099#-0.664#-0.727#-0.144,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.408#0.896#0.044#-0.167,-0.233#0.727#0.33#-0.555,-0.347#0.47#0.349#-0.733,-0.252#0.64#0.696#0.205,-0.064#-0.624#-0.748#-0.218,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.408#0.896#0.044#-0.167,-0.282#0.748#0.378#-0.467,-0.404#0.516#0.364#-0.662,-0.252#0.64#0.696#0.205,-0.064#-0.624#-0.748#-0.218,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.408#0.896#0.044#-0.167,-0.282#0.748#0.378#-0.467,-0.404#0.516#0.364#-0.662,-0.252#0.64#0.696#0.205,-0.064#-0.624#-0.748#-0.218,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.41#0.902#0.038#-0.131,-0.282#0.748#0.378#-0.467,-0.404#0.516#0.364#-0.662,-0.276#0.597#0.709#0.253,-0.039#-0.577#-0.77#-0.27,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.41#0.902#0.038#-0.131,-0.322#0.753#0.394#-0.417,-0.443#0.535#0.361#-0.622,-0.276#0.597#0.709#0.253,-0.039#-0.577#-0.77#-0.27,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.41#0.902#0.038#-0.131,-0.322#0.753#0.394#-0.417,-0.443#0.535#0.361#-0.622,-0.276#0.597#0.709#0.253,-0.039#-0.577#-0.77#-0.27,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.411#0.905#0.037#-0.099,-0.322#0.753#0.394#-0.417,-0.443#0.535#0.361#-0.622,-0.292#0.576#0.71#0.283,-0.019#-0.545#-0.784#-0.297,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.411#0.905#0.037#-0.099,-0.343#0.759#0.395#-0.388,-0.463#0.549#0.356#-0.598,-0.292#0.576#0.71#0.283,-0.019#-0.545#-0.784#-0.297,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.411#0.905#0.037#-0.099,-0.343#0.759#0.395#-0.388,-0.463#0.549#0.356#-0.598,-0.292#0.576#0.71#0.283,-0.019#-0.545#-0.784#-0.297,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
-0.413#0.907#0.032#-0.075,-0.355#0.765#0.387#-0.372,-0.473#0.557#0.348#-0.587,-0.304#0.573#0.7#0.297,0.006#-0.532#-0.787#-0.311,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1,0#0#0#1
